,種目,組,選手,記録,着順,風・備考,時間,分,秒,秒以下,区分
362,200m,2,天野　皓平,"22""16",3着,+2.3,,,22.0,16.0,準決勝
363,400m,3,宮田　貴史,DNS,-,-,,,,,予選
364,4,中嶋　一貴,"51""81",4着,-,,,,,,
365,6,高橋　知也,"51""03",1着,Q,,,,,,
366,400m,3,高橋　知也,"50""04",4着,-,,,50.0,4.0,準決勝
367,400m,2,中村　勇太,DNS,-,-,,,,,OP
368,3,小長光　貴裕,"52""30",1着,-,,,,,,
369,5,岩井　梨輝,DNS,-,-,,,,,,
370,7,白井　陸大,"55""79",4着,-,,,,,,
371,8,櫛田　優,"55""10",2着,-,,,,,,
372,8,森実　泰貴,"56""64",4着,-,,,,,,
373,8,中村　彩人,"1'01""78",5着,-,,,,,,
374,8,永井　生,DNS,-,-,,,,,,
375,8,益田　一毅,DNS,-,-,,,,,,
376,9,尾川　拓巳,"55""57",5着,-,,,,,,
377,9,佐藤　巧,"1'00""34",7着,-,,,,,,
378,9,前田　颯,FS,-,-,,,,,,
379,800m,4,江頭　悠郎,"2'01""33",5着,-,,2.0,1.0,33.0,予選
380,5,芝江　柾葵,"1'59""20",2着,Q,,,,,,
381,8,箱�ｱ　喜郎,DNS,-,-,,,,,,
382,800m,1,芝江　柾葵,"2'05""34",8着,-,,2.0,5.0,34.0,準決勝
383,1500m,1,河合　正貴,"4'06""26",2着,Q,,4.0,6.0,26.0,予選
384,2,箱�ｱ　喜郎,"4'01""72",2着,Q,,,,,,
385,3,松井　将器,"4'02""21",1着,Q,,,,,,
386,1500m,1,松井　将器,"4'02""48",4着,4位入賞,,4.0,2.0,48.0,決勝
387,1,河合　正貴,"4'03""08",5着,5位入賞,,,,,,
388,1,箱�ｱ　喜郎,"4'04""03",7着,7位入賞,,,,,,
389,1500m,1,小林　裕平,"4'07""26",4着,-,,4.0,7.0,26.0,OP
390,1,細川　和穂,"4'15""79",13着,-,,,,,,
391,1,井上　暁人,DNS,-,-,,,,,,
392,2,笠木　浩平,DNS,-,-,,,,,,
393,2,小島　俊平,DNS,-,-,,,,,,
394,3,佐々木　亮一,"4'30""56",15着,-,,,,,,
395,4,多田　駿介,"4'26""44",4着,-,,,,,,
396,5000m,2,松井　将器,"14'32""89",1着,優勝,,14.0,32.0,89.0,TR決勝
397,2,新美　惣一朗,"15'10""18",10着,PB/歴代10位,,,,,,
398,2,塩田　匠,DNS,-,-,,,,,,
399,5000m,1,辻　航平,"16'00""65",10着,-,,16.0,0.0,65.0,OP
400,2,奈良　悠冬,"16'01""12",6着,PB,,,,,,
401,2,杉浦　拓馬,DNS,-,-,,,,,,
402,2,笠木　浩平,DNS,-,-,,,,,,
403,2,多田　駿介,"16'05""85",1着,-,,,,,,
404,2,阿川　陽,"16'22""63",5着,PB,,,,,,
405,2,久司　駿三,"16'27""55",8着,-,,,,,,
406,2,吉田　啓一郎,"17'23""08",27着,-,,,,,,
407,3,松原　佳祐,"17'48""48",20着,-,,,,,,
408,10000m,2,松井　将器,"30'29""20",1着,優勝,,30.0,29.0,20.0,TR決勝
409,2,新美　総一朗,"32'07""70",10着,,,,,,,
410,2,塩田　匠,DNS,-,-,,,,,,
411,3000mSC,1,山内　岳秋,"9'58""97",5着,PB/歴代17位,,9.0,58.0,97.0,TR決勝
412,1,杉浦　拓馬,"10'25""08",10着,-,,,,,,
413,1,井上　暁人,DNS,-,-,,,,,,
414,110mH,2,永島　唯哉,"15""52",1着,+1.6,,,15.0,52.0,予選
415,110mH,3,永島　唯哉,"14""84",1着,+2.2,,,14.0,84.0,準決勝
416,110mH,1,永島　唯哉,"14""60",3着,+1.8/3位入賞,,,14.0,60.0,決勝
417,400mH,4,永島　唯哉,"55""07",4着,PB/歴代3位,,,55.0,7.0,予選
418,4×100mR,1,岩井　梨輝永島　唯哉永井　生天野　皓平,"42""16",3着,q,,,42.0,16.0,予選
419,4×100mR,1,岩井　梨輝永島　唯哉永井　生天野　皓平,"42""31",5着,5位入賞,,,42.0,31.0,決勝
420,4×400mR,3,中嶋　一貴高橋　知也宮田　貴史小長光　貴裕,"3'23""75",3着,-,,3.0,23.0,75.0,予選
421,1,小河　雅広,1m95,5等,PB/歴代3位/関東インカレB標準突破,,,,,,
422,1,足達　哲也,記録なし,13等,-,,,,,,
423,1,小林　拓己,DNS,-,-,,,,,,
424,1,福井　義光,17m92,29等,-,,,,,,
425,1,佐藤　巧,6m75,26等,PB,,,,,,
426,1,土田　周治,DNS,-,-,,,,,,
427,十種競技100m,2,土田　周治,"11""80",5着,+3.3,,,11.0,80.0,
428,十種競技400m,2,土田　周治,"52""49",2着,歴代35位,,,52.0,49.0,
429,十種競技110mH,2,土田　周治,"18""83",5着,+3.7,,,18.0,83.0,
430,十種競技1500m,1,土田　周治,"4'29""33",1着,-,,4.0,29.0,33.0,
431,女子100m,2,木原　葉子,"13""26",4着,+2.1,,,13.0,26.0,予選
432,女子100m,4,足立　茉優,"14""21",3着,+0.8,,,14.0,21.0,OP
433,女子200m,2,木原　葉子,"27""05",4着,+2.6,,,27.0,5.0,予選
434,女子200m,1,木原　葉子,"27""00",6着,+1.7/工大新記録,,,27.0,0.0,準決勝
435,女子400m,4,木原　葉子,"1'01""77",4着,-,,1.0,1.0,77.0,予選
436,女子400m,2,足立　茉優,"1'08""98",4着,-,,1.0,8.0,98.0,OP
437,女子800m,4,丸田　彩佳,"2'35""84",5着,PB/歴代4位,,2.0,35.0,84.0,予選
438,5,五日市　実侑,"2'42""65",7着,-,,,,,,
439,女子1500m,1,上田　菜々子,"5'04""26",10着,-,,5.0,4.0,26.0,予選
440,1,川崎　忍,DNS,-,-,,,,,,
441,女子1500m,2,大谷　菜々子,"6'08""48",12着,歴代8位,,6.0,8.0,48.0,OP
442,女子5000m,1,上田　菜々子,"18'59""52",15着,PB/工大新記録,,18.0,59.0,52.0,決勝
443,女子4×400mR,2,鳥山　夏海木原　葉子上田　菜々子丸田　彩佳,"4'36""60",8着,-,,4.0,36.0,60.0,予選
444,女子七種競技100mH,1,鳥山　夏海,DNS,-,-,,,,,
445,女子七種競技200m,1,鳥山　夏海,DNS,-,-,,,,,
446,女子七種競技800m,1,鳥山　夏海,DNS,-,-,,,,,
