,種目,組,選手,記録,着順,風・備考,時間,分,秒,秒以下,区分
65,1500m,関　駿太,DNS,-,-,,,,,,OP
66,5000m,松井　将器,"15'14""1",1着,-,,,,,,OP
67,5000m,柴田　幸樹,"15'38""4",2着,-,,,,,,OP
68,5000m,山内　岳秋,"16'38""2",4着,,,,,,,OP
69,5000m,杉浦　拓馬,"16'45""1",5着,-,,,,,,OP
70,5000m,小林　雅彦,"17'04""0",7着,-,,,,,,OP
71,5000m,笠原　慧,"17'14""1",9着,-,,,,,,OP
72,5000m,田井　裕次郎,"17'50""3",13着,-,,,,,,OP
73,5000m,河合　正貴,DNS,-,-,,,,,,OP
74,5000m,丸山　蒼太,DNS,-,-,,,,,,OP
75,4×100mR,中村　勇太尾川　拓巳前田　颯下山　達大,"45""7",1着,-,,,,,,OP
76,4×100mR,足立　茉優富田　彩花鳥山　夏海木原　葉子,"55""6",2着,-,,,,,,OP
77,4×400mR,佐々木　亮一土田　周治井上　暁人細川　和穂,"3'41""2",1組1着,-,,,,,,OP
78,4×400mR,新美　惣一朗箱�ｱ　喜郎山内　岳秋杉浦　拓馬,"3'53""8",1組2着,-,,,,,,OP
79,4×400mR,岩井　梨輝片瀬　悠喜益田　一毅中村　勇太,"3'57""6",1組3着,-,,,,,,OP
80,4×400mR,宮田　貴史米川　晴義松井　将器細川　和穂,"3'46""6",2組2着,-,,,,,,OP
81,4×400mR,森　達也中野　佑太天野　皓平久保　謙太,"3'49""0",2組3着,-,,,,,,OP
82,4×400mR,永島　唯哉尾川　拓巳中村　彩人福井　義光・上田　菜々子,"3'57""8",2組4着,-,,,,,,OP
83,4×400mR,吉田　啓一郎久司　駿三赤塚　洋介土田　周治,"4'25""2",2組4着,-,,,,,,OP
84,4×400mR,小林　裕平笠木　浩平野村　勝洋細川　和穂,"3'49""7",3組1着,-,,,,,,OP
85,4×400mR,笠原　慧柴田　幸樹小林　雅彦永瀬　翔平,"4'00""2",3組2着,-,,,,,,OP
86,4×400mR,岩井　梨輝永井　生片瀬　悠喜白井　陸大,"4'02""4",3組3着,-,,,,,,OP
87,4×400mR,井上　暁人田井　裕次郎上田　菜々子・五日市　実侑塩田　匠,"4'11""9",3組5着,-,,,,,,OP
88,4×400mR,前田　颯赤塚　洋介福井　義光土田　周治,"4'57""3",3組6着,-,,,,,,OP
89,100m,1,岩井　梨輝,"11""27",2着,-1.1,,,11.0,27.0,予選
90,2,米川　晴義,"11""37",3着,-0.6,,,,,,
91,4,天野　皓平,"11""17",2着,-1.9/q,,,,,,
92,100m,1,天野　皓平,"10""95",4着,-1.5/4位入賞,,,10.0,95.0,決勝
93,100m,1,永井　生,"11""24",5着,0.3,,,11.0,24.0,OP
94,2,関　駿太,"11""28",1着,0.0,,,,,,
95,3,益田　一毅,"11""39",2着,-1.1/歴代34位,,,,,,
96,3,尾川　拓巳,"11""58",4着,-1.1/歴代47位,,,,,,
97,4,高橋　慧,DNS,-,-,,,,,,
98,5,石井　裕太,DNS,-,-,,,,,,
99,6,中村　彩人,"11""78",2着,0.0,,,,,,
100,7,下山　達大,"12""11",2着,-0.6,,,,,,
101,8,野村　勝洋,"11""80",1着,0.0/PB,,,,,,
102,9,前田　颯,"12""21",3着,-0.1,,,,,,
103,10,白井　陸大,"12""34",3着,-1.9,,,,,,
104,200m,1,天野　皓平,"22""19",3着,0.0/q,,,22.0,19.0,予選
105,2,永井　生,"22""60",1着,0.8/Q,,,,,,
106,3,西嶋　健人,"22""53",4着,0.0,,,,,,
107,200m,1,天野　皓平,"22""11",3着,-1.0/3位入賞,,,22.0,11.0,決勝
108,1,永井　生,"22""62",7着,-1.0/7位入賞,,,,,,
109,400m,1,高橋　知也,"50""19",1着,Q,,,50.0,19.0,予選
110,2,宮田　貴史,"51""38",4着,-,,,,,,
111,3,中嶋　一貴,"52""24",5着,-,,,,,,
112,400m,1,高橋　知也,"49""31",4着,4位入賞,,,49.0,31.0,決勝
113,800m,1,小林　裕平,"1'58""99",2着,q,,1.0,58.0,99.0,予選
114,2,箱�ｱ　喜郎,"2'00""01",1着,Q,,,,,,
115,3,細川　和穂,"2'00""61",3着,-,,,,,,
