,種目,組,選手,記録,着順,風・備考,時間,分,秒,秒以下,区分
373,2,小島　俊平,DNS,-,-,,,,,,
374,3,佐々木　亮一,"4'30""56",15着,-,,,,,,
375,4,多田　駿介,"4'26""44",4着,-,,,,,,
376,5000m,2,松井　将器,"14'32""89",1着,優勝,,14.0,32.0,89.0,TR決勝
377,2,新美　惣一朗,"15'10""18",10着,PB/歴代10位,,,,,,
378,2,塩田　匠,DNS,-,-,,,,,,
379,5000m,1,辻　航平,"16'00""65",10着,-,,16.0,0.0,65.0,OP
380,2,奈良　悠冬,"16'01""12",6着,PB,,,,,,
381,2,杉浦　拓馬,DNS,-,-,,,,,,
382,2,笠木　浩平,DNS,-,-,,,,,,
383,2,多田　駿介,"16'05""85",1着,-,,,,,,
384,2,阿川　陽,"16'22""63",5着,PB,,,,,,
385,2,久司　駿三,"16'27""55",8着,-,,,,,,
386,2,吉田　啓一郎,"17'23""08",27着,-,,,,,,
387,3,松原　佳祐,"17'48""48",20着,-,,,,,,
388,10000m,2,松井　将器,"30'29""20",1着,優勝,,30.0,29.0,20.0,TR決勝
389,2,新美　総一朗,"32'07""70",10着,,,,,,,
390,2,塩田　匠,DNS,-,-,,,,,,
391,3000mSC,1,山内　岳秋,"9'58""97",5着,PB/歴代17位,,9.0,58.0,97.0,TR決勝
392,1,杉浦　拓馬,"10'25""08",10着,-,,,,,,
393,1,井上　暁人,DNS,-,-,,,,,,
394,110mH,2,永島　唯哉,"15""52",1着,+1.6,,,15.0,52.0,予選
395,110mH,3,永島　唯哉,"14""84",1着,+2.2,,,14.0,84.0,準決勝
396,110mH,1,永島　唯哉,"14""60",3着,+1.8/3位入賞,,,14.0,60.0,決勝
397,400mH,4,永島　唯哉,"55""07",4着,PB/歴代3位,,,55.0,7.0,予選
398,4×100mR,1,岩井　梨輝永島　唯哉永井　生天野　皓平,"42""16",3着,q,,,42.0,16.0,予選
399,4×100mR,1,岩井　梨輝永島　唯哉永井　生天野　皓平,"42""31",5着,5位入賞,,,42.0,31.0,決勝
400,4×400mR,3,中嶋　一貴高橋　知也宮田　貴史小長光　貴裕,"3'23""75",3着,-,,3.0,23.0,75.0,予選
401,1,小河　雅広,1m95,5等,PB/歴代3位/関東インカレB標準突破,,,,,,
402,1,足達　哲也,記録なし,13等,-,,,,,,
403,1,小林　拓己,DNS,-,-,,,,,,
404,1,福井　義光,17m92,29等,-,,,,,,
405,1,佐藤　巧,6m75,26等,PB,,,,,,
406,1,土田　周治,DNS,-,-,,,,,,
407,十種競技100m,2,土田　周治,"11""80",5着,+3.3,,,11.0,80.0,
408,十種競技400m,2,土田　周治,"52""49",2着,歴代35位,,,52.0,49.0,
409,十種競技110mH,2,土田　周治,"18""83",5着,+3.7,,,18.0,83.0,
410,十種競技1500m,1,土田　周治,"4'29""33",1着,-,,4.0,29.0,33.0,
411,女子100m,2,木原　葉子,"13""26",4着,+2.1,,,13.0,26.0,予選
412,女子100m,4,足立　茉優,"14""21",3着,+0.8,,,14.0,21.0,OP
413,女子200m,2,木原　葉子,"27""05",4着,+2.6,,,27.0,5.0,予選
414,女子200m,1,木原　葉子,"27""00",6着,+1.7/工大新記録,,,27.0,0.0,準決勝
415,女子400m,4,木原　葉子,"1'01""77",4着,-,,1.0,1.0,77.0,予選
416,女子400m,2,足立　茉優,"1'08""98",4着,-,,1.0,8.0,98.0,OP
417,女子800m,4,丸田　彩佳,"2'35""84",5着,PB/歴代4位,,2.0,35.0,84.0,予選
418,5,五日市　実侑,"2'42""65",7着,-,,,,,,
419,女子1500m,1,上田　菜々子,"5'04""26",10着,-,,5.0,4.0,26.0,予選
420,1,川崎　忍,DNS,-,-,,,,,,
421,女子1500m,2,大谷　菜々子,"6'08""48",12着,歴代8位,,6.0,8.0,48.0,OP
422,女子5000m,1,上田　菜々子,"18'59""52",15着,PB/工大新記録,,18.0,59.0,52.0,決勝
423,女子4×400mR,2,鳥山　夏海木原　葉子上田　菜々子丸田　彩佳,"4'36""60",8着,-,,4.0,36.0,60.0,予選
424,女子七種競技100mH,1,鳥山　夏海,DNS,-,-,,,,,
425,女子七種競技200m,1,鳥山　夏海,DNS,-,-,,,,,
426,女子七種競技800m,1,鳥山　夏海,DNS,-,-,,,,,
427,20km,塩田　匠,1:03'43,227位,PB/歴代4位,,,,,,
428,20km,多田　駿介,1:07'29,390位,初/歴代18位,,,,,,
429,20km,杉浦　拓馬,1:08'34,429位,PB/歴代26位,,,,,,
430,20km,箱崎　喜郎,1:09'15,454位,PB/歴代39位,,,,,,
431,20km,井上　暁人,1:09'26,458位,PB/歴代40位,,,,,,
432,20km,山内　岳秋,1:10'04,482位,-,,,,,,
433,20km,奈良　悠冬,1:10'47,502位,PB,,,,,,
434,20km,久司　駿三,1:11'47,528位,初,,,,,,
435,20km,江頭　悠郎,1:12'08,540位,PB,,,,,,
436,20km,阿川　陽,1:12'16,541位,初,,,,,,
437,20km,小島　俊平,1:15'46,575位,-,,,,,,
438,20km,田井　裕次郎,DQ,-,-,,,,,,
439,20km,松井　将器,1:00'58,52位,-,,,,,,
440,20km,丸山　蒼太,1:09'32,459位,-,,,,,,
441,20km,小林　裕平,1:10'31,495位,-,,,,,,
442,20km,武田　直樹,1:11'35,519位,初,,,,,,
443,20km,萩原　健太,1:11'54,531位,初,,,,,,
444,20km,笠木　浩平,1:12'02,538位,-,,,,,,
445,20km,田野倉　佑介,1:12'45,551位,-,,,,,,
446,20km,辻　航平,1:13'50,562位,-,,,,,,
447,20km,外山　真矢人,1:16'22,578位,-,,,,,,
448,20km,山根　圭太,1:17'27,581位,-,,,,,,
